[-8.59849367 -9.45770147  1.22172995] 0.544646934949041 2.3028990705332175 0.0649905698760207 -0.3421705380824968 -0.1866587331107746 0.7744081796409775 -0.4983671453125323
[-8.59849511 -9.45770685  1.22173073] 0.544654762925731 2.302879939985487 0.06499115622800733 -0.3421705763736626 -0.1866585525247954 0.7744080434694018 -0.4983673982548987
[-8.59849654 -9.45771224  1.22173151] 0.5446629003952272 2.3028600649622653 0.06499220856943222 -0.3421706126298603 -0.18665842082875164 0.7744079136376795 -0.49836762443156285
[-8.59849798 -9.45771762  1.22173228] 0.544671369868803 2.3028393913130047 0.06499376079473662 -0.34217064670311614 -0.18665834157935626 0.7744077906070076 -0.49836782189542367
[-8.59849946 -9.45772305  1.22173307] 0.5447143140787113 2.3028339685327697 0.06499663521561605 -0.34217079173694803 -0.18665814943382408 0.774407457410072 -0.4983683120340998
[-8.59864732 -9.45788465  1.22175343] 0.5447229255916918 2.302782819188645 0.06500672596535229 -0.34217085075826026 -0.18665769036864385 0.7744072546257614 -0.49836875855194107
[-8.59879518 -9.45804624  1.2217738 ] 0.544731102321167 2.302756537944364 0.06501894459574786 -0.3421709229114767 -0.18665749702671303 0.7744071581335191 -0.498368931364303
[-8.59894304 -9.45820783  1.22179416] 0.5447388126354386 2.3027569342458065 0.06503344593477112 -0.34217100915134324 -0.18665758874370808 0.774407175664369 -0.4983688105612861
[-8.59909091 -9.45836943  1.22181452] 0.5446955459404877 2.302734156121406 0.06504637508919564 -0.34217095735117814 -0.18665781058700226 0.7744075044695585 -0.49836825211230673
[-8.59915703 -9.45843708  1.22182403] 0.5446579123440982 2.30273292386759 0.06505494885095975 -0.34217093005246413 -0.1866581802023845 0.7744078800168954 -0.4983675488615842
[-8.59922314 -9.45850473  1.22183354] 0.5446233963731344 2.3026831514941115 0.065061830104301 -0.34217087470139684 -0.18665828774019758 0.7744081058561305 -0.49836719565828036
[-8.59928926 -9.45857238  1.22184304] 0.5445922173767234 2.3025813644741984 0.06506689831750367 -0.34217078928411543 -0.18665811444951788 0.7744081712962452 -0.4983672175218204
[-8.59935537 -9.45864002  1.22185255] 0.54454288611963 2.3024720854191423 0.0650713313713488 -0.34217064587224943 -0.18665800256982476 0.7744083346366575 -0.4983671040761917
[-8.59925561 -9.4585323   1.22183829] 0.5445418663563556 2.3024184913342416 0.06506742656711484 -0.34217065602974384 -0.1866581860662459 0.7744082680407562 -0.4983671318583819
[-8.59915585 -9.45842459  1.22182403] 0.5445356934037695 2.302420885314851 0.06506414125260485 -0.34217069789938476 -0.18665853587300088 0.7744083377269779 -0.49836686380991907
[-8.59905608 -9.45831687  1.22180977] 0.5445239999707369 2.3024832579316903 0.06506151958740702 -0.3421707737425893 -0.18665906383045502 0.7744085534105801 -0.49836627884605955
[-8.59895633 -9.45820917  1.22179551] 0.5445610475739352 2.302567370793926 0.06505982197237048 -0.34217094960820066 -0.18665950684019397 0.7744084976973917 -0.49836607874580185
[-8.59907259 -9.45833555  1.22181201] 0.5445465880507491 2.3025824470025364 0.06506897559533253 -0.342170932816144 -0.1866595876085867 0.7744086440234578 -0.4983658326483385
[-8.59918884 -9.45846193  1.2218285 ] 0.5445339997512115 2.30256593399784 0.06507689304337494 -0.34217089771658343 -0.186659484014942 0.7744086892906715 -0.49836582520695305
[-8.5993051  -9.45858831  1.22184499] 0.5445234148852716 2.3025155998180296 0.06508348697306221 -0.3421708430172532 -0.18665918303234175 0.774408626361077 -0.49836607327958315
[-8.59942133 -9.45871467  1.22186148] 0.5445128375197047 2.30246527393262 0.06509007986457305 -0.3421707883425051 -0.18665888207748565 0.7744085634022019 -0.49836632137012427
[-8.59942578 -9.45871725  1.22186271] 0.5445396940306862 2.3024563581592217 0.06509148800128384 -0.3421708478627497 -0.18665873179792813 0.7744083546766549 -0.4983666611276001
[-8.59943023 -9.45871983  1.22186394] 0.5445649221194582 2.3024584803213517 0.06509094581662533 -0.3421709232660762 -0.18665838720848213 0.7744081439051979 -0.49836706593561714
[-8.59943468 -9.45872241  1.22186516] 0.5445884015507568 2.302472455394468 0.0650883093108664 -0.3421710157245152 -0.1866578339651662 0.7744079309371481 -0.4983675405954239
[-8.59943913 -9.45872499  1.22186639] 0.5445388366119809 2.302454327017398 0.06508393852966432 -0.3421709347559626 -0.18665744079453978 0.7744081258243661 -0.49836744061129884
[-8.59940212 -9.45868495  1.2218595 ] 0.54447195040713 2.3024367777433494 0.06507605468182831 -0.3421708608519157 -0.18665721099168442 0.7744084058433037 -0.4983671423036412
[-8.59936506 -9.45864486  1.22185261] 0.5444050648770938 2.3024233550680595 0.06506889778866043 -0.34217078712774707 -0.1866570671232617 0.774408707792745 -0.4983667776087118
[-8.59932801 -9.45860477  1.22184571] 0.5443381639560507 2.302414347341991 0.06506252477054042 -0.3421707135022696 -0.1866570154294667 0.7744090333966007 -0.49836634156617554
[-8.59929095 -9.45856468  1.22183882] 0.5443218932779793 2.3024274306305594 0.06505695331817618 -0.34217073726402464 -0.18665688163392136 0.7744090918832288 -0.4983662844810903
[-8.59923926 -9.45850783  1.22182853] 0.5443335051500081 2.3024561737926796 0.06505058608057679 -0.34217084595810165 -0.18665674198779156 0.7744090031999306 -0.49836639996062143
[-8.59918756 -9.45845096  1.22181824] 0.5443469345343179 2.3024677174959334 0.06504496908488377 -0.34217094028216655 -0.18665665490513003 0.7744088849872686 -0.4983665515048341
[-8.59913585 -9.45839409  1.22180794] 0.5443623088608988 2.302460793800376 0.06504015872678326 -0.34217101913378634 -0.18665662420260595 0.7744087351102303 -0.4983667417587234
[-8.59908415 -9.45833722  1.22179765] 0.5444091704717332 2.302468610453457 0.06503613828935162 -0.34217117003189174 -0.18665653228357176 0.7744083899718774 -0.49836720888923125
[-8.59900646 -9.45825378  1.22178275] 0.5444790319716637 2.302492022631464 0.06503090158125802 -0.3421713958879552 -0.18665646793376328 0.7744079028890662 -0.49836783479428
[-8.59892873 -9.4581703   1.22176783] 0.5445483989416974 2.302538661960873 0.06502726876597376 -0.3421716358889459 -0.18665661000555409 0.7744075097950542 -0.4983682276262604
[-8.598851   -9.45808682  1.22175292] 0.544617221106823 2.3026101970311106 0.06502535868768511 -0.34217189099294837 -0.1866569733631499 0.7744072175899975 -0.49836837043871135
[-8.59877328 -9.45800334  1.221738  ] 0.544665399254704 2.3026728379621946 0.0650230160109947 -0.3421720994610838 -0.1866573797192242 0.7744070352806326 -0.4983683584002986
[-8.59872762 -9.45795253  1.22171557] 0.5446941183663487 2.3027209884863526 0.06501787404325887 -0.34217247225925834 -0.18665786932956477 0.7744068723291215 -0.49836817227303143
[-8.59868207 -9.45790183  1.22169312] 0.5447228059528565 2.302769107308386 0.06501272432158323 -0.3421728456056594 -0.18665835912886825 0.7744067092941873 -0.498367985827332
[-8.59863651 -9.45785112  1.22167066] 0.5447514935434459 2.302817226128528 0.06500757460135442 -0.3421732189536083 -0.18665884892470921 0.7744065462578608 -0.4983677993831468
[-8.59859095 -9.45780041  1.22164821] 0.5447728286333995 2.3028607295649257 0.06500273099262566 -0.34217361139721186 -0.1866593008697766 0.7744064372833449 -0.4983675299980054
[-8.59857897 -9.45778545  1.22161033] 0.5447797905746281 2.3028905970619915 0.06499268516582912 -0.34217433808759457 -0.18665988651615023 0.7744062617376523 -0.4983670844885418
[-8.5985671  -9.45777061  1.22157241] 0.5447896648238796 2.30287669646875 0.06498086554607474 -0.3421750428580025 -0.186660209317042 0.7744059510145828 -0.4983669625246459
[-8.59855523 -9.45775576  1.22153449] 0.5448025800391918 2.302817682840094 0.06496723379413116 -0.342175723933965 -0.18666026047933532 0.7744055011453596 -0.4983671747856777
[-8.59854336 -9.45774091  1.22149656] 0.5448295040372788 2.3027657738967724 0.06495337333202267 -0.34217639945712325 -0.1866603357867461 0.7744049713072116 -0.4983675060768061
[-8.59848595 -9.45767991  1.22148183] 0.544877781973961 2.3027319385819247 0.0649474383901506 -0.34217658653603833 -0.18666020443037434 0.7744045321793199 -0.49836810918103963
[-8.59842839 -9.45761877  1.22146717] 0.544921323607814 2.3027576260896168 0.06494281990422868 -0.3421768058684279 -0.18666031421265306 0.774404254765207 -0.4983683485387671
[-8.59837084 -9.45755762  1.22145252] 0.5449599061707615 2.302845004055211 0.06493954181504369 -0.3421770601710162 -0.1866606747744457 0.7744041446843978 -0.4983682099423034
[-8.59831328 -9.45749648  1.22143786] 0.5449806776111024 2.3029243343356622 0.06493700787703449 -0.34217734272146705 -0.18666098181380544 0.774404102473827 -0.4983679665348571
[-8.5983378  -9.45752784  1.22143735] 0.5449671611799665 2.302969593580543 0.06493957901493141 -0.3421774970090865 -0.18666113503474246 0.7744042053458947 -0.4983676433625396
[-8.59836267 -9.45755959  1.2214369 ] 0.5449563897898088 2.302979892512402 0.06494134258631201 -0.34217763179068517 -0.18666113749887123 0.7744042145927749 -0.4983675355304488
[-8.59838754 -9.45759135  1.22143645] 0.5449485975126049 2.3029539769191225 0.06494224453616604 -0.342177746918328 -0.18666098380083734 0.774404125940806 -0.4983676518056286
[-8.59841241 -9.45762311  1.221436  ] 0.544940433870923 2.302927508254218 0.06494365511780487 -0.3421778941292526 -0.18666078630793412 0.774404031245211 -0.49836777184659536
[-8.59851847 -9.45773459  1.22145056] 0.5449048234751568 2.302874041221104 0.06495040753650849 -0.3421779175353907 -0.1866603768965005 0.7744041229398176 -0.4983677666360572
