theodolite_number , marker_number , status , elevation , azimuth , distance , sec , nsec
1 , 1 , 0 , 1.56335 , 5.98499 , 258.334 , 1651700914 , 728468909
1 , 2 , 0 , 1.57238 , 2.75986 , 290.7 , 1651700953 , 130303322
1 , 3 , 0 , 1.48867 , 5.81576 , 6.30371 , 1651701017 , 530444130
1 , 4 , 0 , 1.5271 , 5.47081 , 15.1149 , 1651701046 , 330397401
1 , 5 , 0 , 1.53975 , 5.99694 , 20.7613 , 1651701070 , 732034475
1 , 6 , 0 , 1.55027 , 0.0679948 , 24.0028 , 1651701101 , 130680505
1 , 7 , 0 , 1.5536 , 0.491573 , 27.4402 , 1651701133 , 931693096
1 , 8 , 0 , 1.54936 , 0.901248 , 17.851 , 1651701165 , 132476053
1 , 9 , 0 , 1.55209 , 1.85046 , 15.7874 , 1651701195 , 933366406
1 , 10 , 0 , 1.55749 , 2.61086 , 18.2516 , 1651701230 , 331472278
1 , 11 , 0 , 1.55472 , 3.22471 , 19.6897 , 1651701259 , 134320809
1 , 12 , 0 , 1.55055 , 3.71933 , 19.9472 , 1651701281 , 932203613
1 , 13 , 0 , 1.54902 , 4.15333 , 20.0995 , 1651701304 , 732680844
1 , 14 , 0 , 1.5529 , 4.51747 , 27.2452 , 1651701329 , 533198855
1 , 15 , 0 , 1.5516 , 4.71702 , 29.3897 , 1651701358 , 734195875
2 , 1 , 0 , 1.56399 , 5.68809 , 259.907 , 1651698887 , 110086470
2 , 2 , 0 , 1.57289 , 2.46731 , 289.076 , 1651698925 , 509830518
2 , 3 , 0 , 1.52463 , 5.47426 , 7.96345 , 1651698989 , 911176378
2 , 4 , 0 , 1.54039 , 5.18889 , 16.8019 , 1651699019 , 111697461
2 , 5 , 0 , 1.54864 , 5.67264 , 22.335 , 1651699043 , 510321671
2 , 6 , 0 , 1.55721 , 6.01044 , 25.2657 , 1651699073 , 911711711
2 , 7 , 0 , 1.55932 , 0.141188 , 28.1279 , 1651699108 , 311813208
2 , 8 , 0 , 1.55763 , 0.511553 , 17.8959 , 1651699137 , 512808614
2 , 9 , 0 , 1.56065 , 1.48921 , 14.4116 , 1651699168 , 713236466
2 , 10 , 0 , 1.56502 , 2.33286 , 16.5675 , 1651699205 , 114011244
2 , 11 , 0 , 1.56158 , 2.99479 , 18.5055 , 1651699231 , 512743474
2 , 12 , 0 , 1.55761 , 3.5085 , 19.503 , 1651699254 , 715200548
2 , 13 , 0 , 1.55659 , 3.94199 , 20.3892 , 1651699277 , 115357988
2 , 14 , 0 , 1.55863 , 4.27656 , 28.0904 , 1651699302 , 315489124
2 , 15 , 0 , 1.55719 , 4.46564 , 30.5052 , 1651699331 , 115261717
3 , 1 , 0 , 1.565 , 1.46245 , 258.102 , 1616541114 , 149035348
3 , 2 , 0 , 1.57382 , 4.53126 , 290.807 , 1616541152 , 548761115
3 , 3 , 0 , 1.55684 , 1.06944 , 6.47159 , 1616541216 , 949694163
3 , 4 , 0 , 1.55577 , 0.865836 , 15.6772 , 1616541245 , 750079256
3 , 5 , 0 , 1.56017 , 1.40932 , 20.5564 , 1616541270 , 151112841
3 , 6 , 0 , 1.56786 , 1.77939 , 23.2949 , 1616541300 , 550466110
3 , 7 , 0 , 1.56899 , 2.22504 , 26.2509 , 1616541334 , 951894535
3 , 8 , 0 , 1.57336 , 2.64836 , 16.4071 , 1616541364 , 151713013
3 , 9 , 0 , 1.57957 , 3.68393 , 14.7191 , 1616541395 , 352241335
3 , 10 , 0 , 1.58064 , 4.45807 , 18.1929 , 1616541431 , 752678664
3 , 11 , 0 , 1.57594 , 5.05301 , 20.4794 , 1616541458 , 154040529
3 , 12 , 0 , 1.57168 , 5.52136 , 21.2189 , 1616541481 , 354118698
3 , 13 , 0 , 1.57015 , 5.92684 , 21.56 , 1616541503 , 755489731
3 , 14 , 0 , 1.56853 , 6.27063 , 28.6652 , 1616541528 , 954239669
3 , 15 , 0 , 1.56624 , 0.178929 , 30.7119 , 1616541557 , 754499866
