theodolite_number , marker_number , status , elevation , azimuth , distance , sec , nsec
1 , 1 , 0 , 1.5746 , 1.75949 , 290.485 , 1657288853 , 483663409
1 , 2 , 0 , 1.57784 , 1.68736 , 109.931 , 1657288928 , 283162911
1 , 3 , 0 , 1.57149 , 5.11689 , 74.3532 , 1657289322 , 292766771
1 , 4 , 0 , 1.56588 , 4.99412 , 258.653 , 1657289518 , 295531645
2 , 1 , 0 , 1.5736 , 1.25965 , 289.058 , 1651699930 , 548947686
2 , 2 , 0 , 1.57523 , 1.21939 , 108.185 , 1651700003 , 749119013
2 , 3 , 0 , 1.56761 , 4.51861 , 74.8192 , 1651700397 , 754574071
2 , 4 , 0 , 1.56478 , 4.45217 , 259.671 , 1651700593 , 756974725
3 , 1 , 0 , 1.57371 , 1.28175 , 289.488 , 1616541970 , 470029240
3 , 2 , 0 , 1.57549 , 1.17861 , 109.406 , 1616542045 , 271654472
3 , 3 , 0 , 1.56804 , 4.72284 , 76.6929 , 1616542437 , 270316718
3 , 4 , 0 , 1.56491 , 4.55493 , 260.252 , 1616542633 , 272786956
