theodolite_number , marker_number , status , elevation , azimuth , distance , sec , nsec
1 , 1 , 0 , 1.57945 , 1.70136 , 105.733 , 1657291804 , 905523793
1 , 2 , 0 , 1.57981 , 1.73439 , 142.854 , 1657291868 , 107745644
1 , 3 , 0 , 1.57906 , 1.7428 , 176.611 , 1657291950 , 108763477
1 , 4 , 0 , 1.57755 , 1.74096 , 221.919 , 1657292153 , 313642931
1 , 5 , 0 , 1.5767 , 1.76705 , 247.244 , 1657292201 , 713022965
1 , 6 , 0 , 1.57782 , 1.84847 , 247.166 , 1657292271 , 713844292
1 , 7 , 0 , 1.57809 , 1.86056 , 210.501 , 1657292343 , 316262546
1 , 8 , 0 , 1.57897 , 1.8714 , 179.185 , 1657292385 , 317750082
1 , 9 , 0 , 1.57929 , 1.89499 , 142.484 , 1657292434 , 916867355
1 , 10 , 0 , 1.57878 , 1.91501 , 112.668 , 1657292483 , 319318899
2 , 1 , 0 , 1.57677 , 1.23562 , 104.074 , 1651702880 , 294226040
2 , 2 , 0 , 1.57783 , 1.25486 , 141.339 , 1651702943 , 495316797
2 , 3 , 0 , 1.57746 , 1.25561 , 175.123 , 1651703027 , 95318745
2 , 4 , 0 , 1.57628 , 1.24709 , 220.402 , 1651703228 , 696553355
2 , 5 , 0 , 1.57555 , 1.27069 , 245.869 , 1651703301 , 897277129
2 , 6 , 0 , 1.57667 , 1.35247 , 246.262 , 1651703365 , 897554292
2 , 7 , 0 , 1.57672 , 1.36873 , 209.68 , 1651703418 , 698440835
2 , 8 , 0 , 1.57735 , 1.38449 , 178.441 , 1651703460 , 700311913
2 , 9 , 0 , 1.57726 , 1.41662 , 141.901 , 1651703510 , 299085748
2 , 10 , 0 , 1.57621 , 1.44766 , 112.239 , 1651703558 , 700702240
3 , 1 , 0 , 1.57699 , 1.19064 , 105.137 , 1616544919 , 797878323
3 , 2 , 0 , 1.57801 , 1.23724 , 142.042 , 1616544983 , 2100122
3 , 3 , 0 , 1.57762 , 1.25294 , 175.734 , 1616545066 , 600002694
3 , 4 , 0 , 1.57639 , 1.25735 , 221.036 , 1616545268 , 200270170
3 , 5 , 0 , 1.57568 , 1.28604 , 246.212 , 1616545341 , 401476027
3 , 6 , 0 , 1.5768 , 1.36785 , 245.704 , 1616545405 , 400983711
3 , 7 , 0 , 1.57689 , 1.37629 , 208.985 , 1616545458 , 202762389
3 , 8 , 0 , 1.57757 , 1.38283 , 177.622 , 1616545500 , 203997842
3 , 9 , 0 , 1.57753 , 1.39905 , 140.816 , 1616545549 , 801880010
3 , 10 , 0 , 1.57654 , 1.40951 , 110.922 , 1616545598 , 203600304
