theodolite_number , marker_number , status , elevation , azimuth , distance , sec , nsec
1 , 1 , 0 , 1.54113 , 4.26777 , 7.4447 , 1657288883 , 589094803
1 , 2 , 0 , 1.55246 , 4.3904 , 17.5834 , 1657288923 , 989890465
1 , 3 , 0 , 1.5565 , 3.32872 , 16.1428 , 1657288966 , 790616334
1 , 4 , 0 , 1.5622 , 2.55516 , 26.0472 , 1657289015 , 190630795
1 , 5 , 0 , 1.55611 , 2.01981 , 22.7135 , 1657289076 , 793860980
1 , 6 , 0 , 1.55667 , 1.57127 , 15.8221 , 1657289115 , 591683569
1 , 7 , 0 , 1.57057 , 0.938721 , 17.9218 , 1657289163 , 993393134
1 , 8 , 0 , 1.61172 , 0.283886 , 22.6757 , 1657289229 , 594870192
1 , 9 , 0 , 1.6083 , 6.09621 , 28.3762 , 1657289271 , 594275489
1 , 10 , 0 , 1.57191 , 5.63121 , 43.076 , 1657289351 , 194404260
1 , 11 , 0 , 1.56763 , 5.40256 , 42.3819 , 1657289393 , 995275546
1 , 12 , 0 , 1.56322 , 5.28489 , 31.9749 , 1657289443 , 996351413
2 , 1 , 0 , 1.59464 , 1.46415 , 8.81833 , 1666983134 , 582586749
2 , 2 , 0 , 1.57646 , 1.52472 , 19.0195 , 1666983172 , 582053141
2 , 3 , 0 , 1.58312 , 0.523709 , 16.3024 , 1666983216 , 182429166
2 , 4 , 0 , 1.57901 , 5.98351 , 25.0253 , 1666983263 , 782057637
2 , 5 , 0 , 1.57537 , 5.4236 , 21.2031 , 1666983329 , 783178237
2 , 6 , 0 , 1.58516 , 4.93695 , 14.2471 , 1666983364 , 982077911
2 , 7 , 0 , 1.59604 , 4.25369 , 16.8178 , 1666983412 , 982796486
2 , 8 , 0 , 1.63106 , 3.59455 , 22.5158 , 1666983484 , 181639793
2 , 9 , 0 , 1.62241 , 3.14141 , 28.9359 , 1666983524 , 583566392
2 , 10 , 0 , 1.58157 , 2.7032 , 44.2167 , 1666983604 , 581319851
2 , 11 , 0 , 1.57755 , 2.48079 , 43.7411 , 1666983650 , 982675094
2 , 12 , 0 , 1.57642 , 2.36212 , 33.4206 , 1666983695 , 381804191
3 , 1 , 0 , 1.57106 , 1.48594 , 9.70265 , 1666982030 , 577720154
3 , 2 , 0 , 1.56596 , 1.45478 , 19.9294 , 1666982072 , 176463106
3 , 3 , 0 , 1.57041 , 0.474753 , 15.464 , 1666982117 , 377624027
3 , 4 , 0 , 1.57082 , 5.84914 , 23.2353 , 1666982160 , 977800573
3 , 5 , 0 , 1.56524 , 5.24066 , 19.4778 , 1666982225 , 378052319
3 , 6 , 0 , 1.57082 , 4.68202 , 13.0639 , 1666982258 , 577820952
3 , 7 , 0 , 1.58389 , 3.99263 , 16.795 , 1666982308 , 978127964
3 , 8 , 0 , 1.61959 , 3.37809 , 23.5775 , 1666982385 , 377624549
3 , 9 , 0 , 1.613 , 2.95951 , 30.5284 , 1666982421 , 779106150
3 , 10 , 0 , 1.5767 , 2.54798 , 46.0443 , 1666982499 , 778245131
3 , 11 , 0 , 1.57277 , 2.33447 , 45.559 , 1666982548 , 177763550
3 , 12 , 0 , 1.5703 , 2.22349 , 35.1988 , 1666982592 , 578476241
