theodolite_number , marker_number , status , elevation , azimuth , distance , sec , nsec
1 , 1 , 0 , 1.52247 , 3.43673 , 5.99951 , 1657288889 , 993079072
1 , 2 , 0 , 1.5367 , 3.86039 , 8.55964 , 1657288948 , 395622643
1 , 3 , 0 , 1.55618 , 3.98307 , 25.2433 , 1657289044 , 794834742
1 , 4 , 0 , 1.55875 , 4.01454 , 40.601 , 1657289131 , 996355646
1 , 5 , 0 , 1.5624 , 3.62101 , 29.4476 , 1657289273 , 594379498
1 , 6 , 0 , 1.56291 , 3.07629 , 32.5121 , 1657289419 , 595739807
1 , 7 , 0 , 1.558 , 2.76046 , 31.909 , 1657289502 , 797850192
1 , 8 , 0 , 1.55592 , 2.36544 , 29.0765 , 1657289547 , 996366581
1 , 9 , 0 , 1.56086 , 1.93091 , 37.2492 , 1657289620 , 797838533
1 , 10 , 0 , 1.55075 , 1.06925 , 14.4345 , 1657289709 , 997858603
1 , 11 , 0 , 1.55922 , 1.02784 , 25.7915 , 1657289766 , 398079310
1 , 12 , 0 , 1.56432 , 0.981727 , 40.3835 , 1657289816 , 798384708
2 , 1 , 0 , 1.58078 , 4.29627 , 6.50529 , 1666983148 , 414266119
2 , 2 , 0 , 1.57682 , 4.41651 , 10.3355 , 1666983208 , 813957866
2 , 3 , 0 , 1.57028 , 4.23689 , 26.8506 , 1666983304 , 414319809
2 , 4 , 0 , 1.56762 , 4.20428 , 42.2029 , 1666983397 , 615401024
2 , 5 , 0 , 1.57446 , 3.86457 , 29.3316 , 1666983531 , 616025608
2 , 6 , 0 , 1.5741 , 3.28526 , 29.863 , 1666983683 , 218284769
2 , 7 , 0 , 1.56889 , 2.93821 , 28.113 , 1666983762 , 817156665
2 , 8 , 0 , 1.56759 , 2.48721 , 24.4251 , 1666983812 , 15282793
2 , 9 , 0 , 1.57041 , 1.97938 , 32.6137 , 1666983886 , 416058702
2 , 10 , 0 , 1.57602 , 0.817429 , 12.9172 , 1666983973 , 618287731
2 , 11 , 0 , 1.57324 , 0.929378 , 24.1345 , 1666984028 , 18159012
2 , 12 , 0 , 1.57329 , 0.949132 , 38.7896 , 1666984091 , 217265082
3 , 1 , 0 , 1.57187 , 3.40666 , 8.18414 , 1666983337 , 974756530
3 , 2 , 0 , 1.57142 , 3.7068 , 10.944 , 1666983395 , 975243487
3 , 3 , 0 , 1.56821 , 3.81029 , 27.6307 , 1666983495 , 976262303
3 , 4 , 0 , 1.56634 , 3.84182 , 42.9835 , 1666983593 , 577313047
3 , 5 , 0 , 1.57239 , 3.47584 , 31.7388 , 1666983723 , 179598414
3 , 6 , 0 , 1.57201 , 2.96153 , 34.1362 , 1666983875 , 177647210
3 , 7 , 0 , 1.56743 , 2.65958 , 32.9245 , 1666983951 , 577660046
3 , 8 , 0 , 1.56622 , 2.27985 , 29.1973 , 1666984001 , 978595860
3 , 9 , 0 , 1.56881 , 1.8233 , 36.3263 , 1666984078 , 379618956
3 , 10 , 0 , 1.57155 , 0.957047 , 12.1477 , 1666984161 , 580115434
3 , 11 , 0 , 1.57077 , 0.884754 , 23.4711 , 1666984215 , 979697601
3 , 12 , 0 , 1.57175 , 0.82636 , 38.0342 , 1666984281 , 179847212
