Point ID;Easting;Northing;Elevation;H. Precision;V. Precision;PDOP;Sats;Date;Time
nor2-2000;245659.86;5182497.083;90.227;0.017;0.03;1.446;17;2023-07-25;15:14:57
nor2-2001;245659.863;5182497.083;90.235;0.017;0.031;1.446;17;2023-07-25;15:14:58
nor2-2002;245659.858;5182497.077;90.229;0.016;0.03;1.446;17;2023-07-25;15:14:59
nor2-2003;245659.858;5182497.08;90.23;0.016;0.03;1.445;17;2023-07-25;15:15:00
nor2-2004;245659.86;5182497.081;90.226;0.016;0.03;1.445;17;2023-07-25;15:15:01
nor2-2005;245659.859;5182497.079;90.222;0.016;0.03;1.445;17;2023-07-25;15:15:02
nor2-2006;245659.861;5182497.076;90.215;0.016;0.03;1.445;17;2023-07-25;15:15:03
nor2-2007;245659.858;5182497.076;90.215;0.016;0.03;1.445;17;2023-07-25;15:15:04
nor2-2008;245659.861;5182497.08;90.227;0.016;0.03;1.445;17;2023-07-25;15:15:05
nor2-2009;245659.862;5182497.082;90.22;0.016;0.03;1.445;17;2023-07-25;15:15:06
nor2-2010;245659.861;5182497.079;90.219;0.016;0.03;1.445;17;2023-07-25;15:15:07
nor2-2011;245659.859;5182497.075;90.219;0.016;0.03;1.445;17;2023-07-25;15:15:08
nor2-2012;245659.858;5182497.079;90.214;0.016;0.03;1.445;17;2023-07-25;15:15:09
nor2-2013;245659.86;5182497.083;90.221;0.016;0.03;1.444;17;2023-07-25;15:15:10
nor2-2014;245659.856;5182497.085;90.222;0.016;0.03;1.444;17;2023-07-25;15:15:11
nor2-2015;245659.861;5182497.083;90.219;0.016;0.03;1.444;17;2023-07-25;15:15:12
nor2-2016;245659.861;5182497.078;90.224;0.017;0.031;1.444;17;2023-07-25;15:15:13
nor2-2017;245659.859;5182497.079;90.216;0.016;0.03;1.444;17;2023-07-25;15:15:14
nor2-2018;245659.86;5182497.082;90.224;0.016;0.03;1.444;17;2023-07-25;15:15:15
nor2-2019;245659.862;5182497.08;90.224;0.016;0.03;1.444;17;2023-07-25;15:15:16
nor2-2020;245659.862;5182497.083;90.216;0.016;0.03;1.444;17;2023-07-25;15:15:17
nor2-2021;245659.859;5182497.082;90.222;0.016;0.03;1.444;17;2023-07-25;15:15:18
nor2-2022;245659.863;5182497.082;90.223;0.016;0.03;1.444;17;2023-07-25;15:15:19
nor2-2023;245659.855;5182497.078;90.225;0.016;0.03;1.444;17;2023-07-25;15:15:20
nor2-2024;245659.857;5182497.075;90.218;0.016;0.03;1.444;17;2023-07-25;15:15:21
nor2-2025;245659.858;5182497.083;90.228;0.016;0.03;1.443;17;2023-07-25;15:15:22
nor2-2026;245659.86;5182497.08;90.227;0.016;0.03;1.443;17;2023-07-25;15:15:23
nor2-2027;245659.861;5182497.078;90.232;0.016;0.03;1.443;17;2023-07-25;15:15:24
nor2-2028;245659.857;5182497.079;90.235;0.016;0.03;1.443;17;2023-07-25;15:15:25
nor2-2029;245659.855;5182497.074;90.226;0.016;0.03;1.443;17;2023-07-25;15:15:26
nor2-2030;245659.858;5182497.079;90.225;0.016;0.03;1.443;17;2023-07-25;15:15:27
nor2-2031;245659.859;5182497.076;90.228;0.016;0.03;1.443;17;2023-07-25;15:15:28
nor2-2032;245659.854;5182497.078;90.219;0.016;0.03;1.443;17;2023-07-25;15:15:29
nor2-2033;245659.853;5182497.078;90.218;0.016;0.03;1.443;17;2023-07-25;15:15:30
nor2-2034;245659.855;5182497.076;90.222;0.016;0.03;1.443;17;2023-07-25;15:15:31
nor2-2035;245659.855;5182497.074;90.216;0.016;0.03;1.442;17;2023-07-25;15:15:32
nor2-2036;245659.857;5182497.073;90.225;0.016;0.03;1.442;17;2023-07-25;15:15:33
nor2-2037;245659.859;5182497.076;90.228;0.016;0.03;1.442;17;2023-07-25;15:15:34
nor2-2038;245659.855;5182497.079;90.224;0.016;0.03;1.442;17;2023-07-25;15:15:35
nor2-2039;245659.859;5182497.076;90.224;0.016;0.03;1.442;17;2023-07-25;15:15:36
nor2-2040;245659.878;5182497.074;90.222;0.016;0.03;1.442;17;2023-07-25;15:15:37
nor2-2041;245659.871;5182497.069;90.215;0.016;0.03;1.442;17;2023-07-25;15:15:38
nor2-2042;245659.864;5182497.076;90.218;0.016;0.03;1.442;17;2023-07-25;15:15:39
nor2-2043;245659.871;5182497.077;90.228;0.016;0.03;1.442;17;2023-07-25;15:15:40
nor2-2044;245659.872;5182497.081;90.22;0.016;0.03;1.442;17;2023-07-25;15:15:41
nor2-2045;245659.871;5182497.076;90.224;0.016;0.029;1.441;18;2023-07-25;15:15:42
nor2-2046;245659.872;5182497.076;90.232;0.016;0.029;1.441;18;2023-07-25;15:15:43
nor2-2047;245659.871;5182497.075;90.224;0.016;0.029;1.294;18;2023-07-25;15:15:44
nor2-2048;245659.872;5182497.079;90.226;0.016;0.029;1.294;18;2023-07-25;15:15:45
nor2-2049;245659.872;5182497.079;90.219;0.016;0.029;1.293;18;2023-07-25;15:15:46
