Point ID,Easting,Northing,Elevation,H. Precision,V. Precision,PDOP,Sats,Datetime,Timestamp
nor3-2105,245691.959,5182452.047,90.344,0.012,0.022,1.326,20.0,2023-07-25 15:16:41,1690298201
nor3-2106,245692.799,5182451.029,90.355,0.012,0.022,1.326,19.0,2023-07-25 15:16:42,1690298202
nor3-2107,245693.628,5182450.077,90.38,0.012,0.022,1.326,19.0,2023-07-25 15:16:43,1690298203
nor3-2108,245694.48,5182449.073,90.414,0.013,0.025,1.326,19.0,2023-07-25 15:16:44,1690298204
nor3-2109,245695.155,5182448.152,90.414,0.012,0.023,1.326,19.0,2023-07-25 15:16:45,1690298205
nor3-2110,245695.86,5182447.243,90.43,0.012,0.022,1.326,21.0,2023-07-25 15:16:46,1690298206
nor3-2111,245696.668,5182446.229,90.447,0.012,0.022,1.289,20.0,2023-07-25 15:16:47,1690298207
nor3-2112,245697.38,5182445.281,90.436,0.013,0.023,1.289,20.0,2023-07-25 15:16:48,1690298208
nor3-2113,245698.117,5182444.351,90.459,0.012,0.021,1.326,20.0,2023-07-25 15:16:49,1690298209
nor3-2114,245698.845,5182443.391,90.456,0.013,0.023,1.326,20.0,2023-07-25 15:16:50,1690298210
nor3-2115,245699.583,5182442.401,90.464,0.012,0.021,1.326,21.0,2023-07-25 15:16:51,1690298211
nor3-2116,245700.373,5182441.33,90.455,0.012,0.021,1.326,21.0,2023-07-25 15:16:52,1690298212
nor3-2117,245701.169,5182440.258,90.454,0.012,0.022,1.326,21.0,2023-07-25 15:16:53,1690298213
nor3-2118,245701.831,5182439.38,90.481,0.014,0.023,1.326,21.0,2023-07-25 15:16:54,1690298214
nor3-2119,245702.517,5182438.452,90.473,0.015,0.026,1.326,21.0,2023-07-25 15:16:55,1690298215
nor3-2120,245703.158,5182437.498,90.509,0.014,0.023,1.326,21.0,2023-07-25 15:16:56,1690298216
nor3-2121,245703.92,5182436.531,90.487,0.014,0.025,1.326,20.0,2023-07-25 15:16:57,1690298217
nor3-2122,245704.725,5182435.611,90.458,0.016,0.029,1.326,20.0,2023-07-25 15:16:58,1690298218
nor3-2123,245705.602,5182434.59,90.467,0.014,0.027,1.326,20.0,2023-07-25 15:16:59,1690298219
nor3-2124,245706.493,5182433.644,90.46,0.016,0.03,1.326,19.0,2023-07-25 15:17:00,1690298220
nor3-2125,245707.357,5182432.727,90.445,0.015,0.028,1.42,20.0,2023-07-25 15:17:01,1690298221
nor3-2126,245708.191,5182431.831,90.464,0.015,0.027,1.42,21.0,2023-07-25 15:17:02,1690298222
nor3-2127,245708.916,5182430.876,90.456,0.014,0.024,1.326,21.0,2023-07-25 15:17:03,1690298223
nor3-2128,245709.692,5182429.806,90.457,0.015,0.025,1.326,21.0,2023-07-25 15:17:04,1690298224
nor3-2129,245710.49,5182428.763,90.433,0.012,0.021,1.326,19.0,2023-07-25 15:17:05,1690298225
nor3-2130,245711.238,5182427.741,90.438,0.012,0.021,1.326,21.0,2023-07-25 15:17:06,1690298226
nor3-2131,245711.99,5182426.707,90.448,0.012,0.02,1.402,21.0,2023-07-25 15:17:07,1690298227
nor3-2132,245712.716,5182425.714,90.443,0.011,0.02,1.402,21.0,2023-07-25 15:17:08,1690298228
nor3-2133,245713.479,5182424.719,90.434,0.011,0.019,1.402,21.0,2023-07-25 15:17:09,1690298229
nor3-2134,245714.29,5182423.78,90.428,0.011,0.019,1.402,21.0,2023-07-25 15:17:10,1690298230
nor3-2135,245715.092,5182422.831,90.407,0.011,0.019,1.402,21.0,2023-07-25 15:17:11,1690298231
nor3-2136,245715.966,5182421.81,90.401,0.012,0.021,1.402,21.0,2023-07-25 15:17:12,1690298232
nor3-2137,245716.811,5182420.844,90.397,0.012,0.021,1.402,21.0,2023-07-25 15:17:13,1690298233
nor3-2138,245717.642,5182419.896,90.404,0.012,0.021,1.402,21.0,2023-07-25 15:17:14,1690298234
nor3-2139,245718.428,5182418.993,90.41,0.012,0.021,1.401,21.0,2023-07-25 15:17:15,1690298235
nor3-2140,245719.274,5182418.082,90.39,0.013,0.022,1.401,20.0,2023-07-25 15:17:16,1690298236
nor3-2141,245720.12,5182417.127,90.398,0.014,0.024,1.401,20.0,2023-07-25 15:17:17,1690298237
nor3-2142,245721.022,5182416.231,90.416,0.012,0.021,1.326,21.0,2023-07-25 15:17:18,1690298238
nor3-2143,245721.986,5182415.355,90.367,0.012,0.02,1.288,21.0,2023-07-25 15:17:19,1690298239
nor3-2144,245722.936,5182414.413,90.352,0.013,0.023,1.288,21.0,2023-07-25 15:17:20,1690298240
nor3-2145,245723.883,5182413.522,90.316,0.012,0.021,1.288,21.0,2023-07-25 15:17:21,1690298241
nor3-2146,245724.758,5182412.57,90.309,0.012,0.019,1.288,20.0,2023-07-25 15:17:22,1690298242
nor3-2147,245725.569,5182411.605,90.3,0.011,0.019,1.418,20.0,2023-07-25 15:17:23,1690298243
nor3-2148,245726.207,5182410.665,90.291,0.012,0.02,1.418,21.0,2023-07-25 15:17:24,1690298244
nor3-2149,245726.742,5182409.753,90.291,0.012,0.02,1.32,21.0,2023-07-25 15:17:25,1690298245
nor3-2150,245727.274,5182408.912,90.279,0.011,0.019,1.32,20.0,2023-07-25 15:17:26,1690298246
nor3-2151,245727.77,5182408.108,90.283,0.011,0.02,1.417,20.0,2023-07-25 15:17:27,1690298247
nor3-2152,245728.316,5182407.254,90.29,0.011,0.019,1.417,20.0,2023-07-25 15:17:28,1690298248
nor3-2153,245728.928,5182406.403,90.292,0.01,0.017,1.417,20.0,2023-07-25 15:17:29,1690298249
nor3-2154,245729.582,5182405.529,90.293,0.011,0.02,1.417,20.0,2023-07-25 15:17:30,1690298250
nor3-2155,245730.316,5182404.711,90.315,0.011,0.02,1.417,20.0,2023-07-25 15:17:31,1690298251
nor3-2156,245731.12,5182403.925,90.31,0.011,0.02,1.417,20.0,2023-07-25 15:17:32,1690298252
nor3-2157,245732.028,5182403.076,90.309,0.012,0.02,1.417,20.0,2023-07-25 15:17:33,1690298253
nor3-2158,245732.973,5182402.194,90.316,0.012,0.021,1.417,20.0,2023-07-25 15:17:34,1690298254
nor3-2159,245733.872,5182401.319,90.323,0.013,0.023,1.417,21.0,2023-07-25 15:17:35,1690298255
nor3-2160,245734.678,5182400.481,90.313,0.012,0.022,1.417,21.0,2023-07-25 15:17:36,1690298256
nor3-2161,245735.489,5182399.568,90.319,0.012,0.021,1.326,20.0,2023-07-25 15:17:37,1690298257
nor3-2162,245736.179,5182398.648,90.343,0.011,0.02,1.326,20.0,2023-07-25 15:17:38,1690298258
nor3-2163,245736.824,5182397.694,90.324,0.011,0.021,1.433,20.0,2023-07-25 15:17:39,1690298259
nor3-2164,245737.396,5182396.669,90.317,0.011,0.02,1.433,20.0,2023-07-25 15:17:40,1690298260
nor3-2165,245737.853,5182395.817,90.312,0.011,0.019,1.433,20.0,2023-07-25 15:17:41,1690298261
nor3-2166,245738.399,5182394.927,90.301,0.011,0.019,1.433,20.0,2023-07-25 15:17:42,1690298262
nor3-2167,245739.183,5182393.964,90.318,0.011,0.018,1.326,21.0,2023-07-25 15:17:43,1690298263
nor3-2168,245739.998,5182393.079,90.291,0.011,0.018,1.326,21.0,2023-07-25 15:17:44,1690298264
nor3-2169,245740.774,5182392.218,90.256,0.01,0.017,1.326,21.0,2023-07-25 15:17:45,1690298265
nor3-2170,245741.604,5182391.367,90.213,0.011,0.018,1.326,21.0,2023-07-25 15:17:46,1690298266
nor3-2171,245742.369,5182390.625,90.204,0.01,0.017,1.326,21.0,2023-07-25 15:17:47,1690298267
nor3-2172,245743.074,5182389.897,90.196,0.01,0.018,1.326,21.0,2023-07-25 15:17:48,1690298268
nor3-2173,245743.746,5182389.14,90.203,0.01,0.017,1.325,21.0,2023-07-25 15:17:49,1690298269
