theodolite_number , marker_number , status , elevation , azimuth , distance , sec , nsec
1 , 1 , 0 , 1.54389 , 2.20407 , 184.922 , 1605918398 , 0
1 , 2 , 0 , 1.55642 , 2.26624 , 116.018 , 1605918653 , 0
1 , 3 , 0 , 1.57534 , 3.68634 , 31.0119 , 1605918759 , 0
1 , 4 , 0 , 1.58433 , 3.9827 , 34.4709 , 1605918884 , 0
1 , 5 , 0 , 1.59498 , 5.7449 , 37.7368 , 1605918956 , 0
1 , 6 , 0 , 1.58842 , 5.86523 , 25.2024 , 1605919007 , 0
2 , 1 , 0 , 1.54191 , 4.96934 , 185.238 , 1604780725 , 0
2 , 2 , 0 , 1.55326 , 5.0286 , 116.287 , 1604781363 , 0
2 , 3 , 0 , 1.56336 , 0.159843 , 30.2476 , 1604781574 , 0
2 , 4 , 0 , 1.57364 , 0.464897 , 33.65 , 1604781719 , 0
2 , 5 , 0 , 1.58517 , 2.25304 , 37.7628 , 1604782006 , 0
2 , 6 , 0 , 1.57364 , 2.38389 , 25.3418 , 1604782111 , 0
3 , 1 , 0 , 1.54201 , 2.97437 , 175.832 , 1604776796 , 0
3 , 2 , 0 , 1.55428 , 3.0191 , 106.607 , 1604777077 , 0
3 , 3 , 0 , 1.57334 , 4.83526 , 25.5529 , 1604777677 , 0
3 , 4 , 0 , 1.58283 , 5.1143 , 32.057 , 1604777787 , 0
3 , 5 , 0 , 1.5879 , 0.309809 , 48.6404 , 1604778109 , 0
3 , 6 , 0 , 1.58078 , 0.408378 , 36.2542 , 1604778043 , 0
