theodolite_number , marker_number , status , elevation , azimuth , distance , sec , nsec
1 , 1 , 0 , 1.56279 , 2.63999 , 261.879 , 1617294984 , 422847716
1 , 2 , 0 , 1.56136 , 2.76258 , 77.6115 , 1617295110 , 23710637
1 , 3 , 0 , 1.5718 , 5.68357 , 287.364 , 1617295363 , 224620123
1 , 4 , 0 , 1.57064 , 5.60441 , 106.872 , 1617295540 , 23665264
1 , 5 , 0 , 1.43712 , 3.62712 , 4.92598 , 1617295670 , 822799329
1 , 6 , 0 , 1.53251 , 4.04247 , 16.6573 , 1617295745 , 625701019
1 , 7 , 0 , 1.49975 , 1.38096 , 8.6179 , 1617295813 , 622843858
1 , 8 , 0 , 1.53516 , 1.31604 , 21.8497 , 1617295857 , 622818528
2 , 1 , 0 , 1.56356 , 3.36646 , 262.207 , 1616547783 , 6737128
2 , 2 , 0 , 1.56422 , 3.49358 , 78.0082 , 1616547910 , 209036975
2 , 3 , 0 , 1.57246 , 0.122622 , 287.093 , 1616548162 , 208533129
2 , 4 , 0 , 1.57266 , 0.0397473 , 106.655 , 1616548337 , 408708895
2 , 5 , 0 , 1.49394 , 4.35839 , 5.55358 , 1616548469 , 9829835
2 , 6 , 0 , 1.54703 , 4.75354 , 17.2678 , 1616548550 , 210777981
2 , 7 , 0 , 1.52422 , 2.16465 , 8.18252 , 1616548616 , 609514674
2 , 8 , 0 , 1.54495 , 2.06163 , 21.3791 , 1616548658 , 211501794
3 , 1 , 0 , 1.56463 , 0.832103 , 262.022 , 1616548319 , 609593381
3 , 2 , 0 , 1.56741 , 0.969166 , 77.9644 , 1616548448 , 811635831
3 , 3 , 0 , 1.57347 , 3.86363 , 287.388 , 1616548699 , 610215527
3 , 4 , 0 , 1.57502 , 3.77482 , 107.038 , 1616548874 , 11563430
3 , 5 , 0 , 1.54074 , 1.93694 , 6.38741 , 1616549008 , 409251555
3 , 6 , 0 , 1.56135 , 2.23577 , 18.2949 , 1616549089 , 610207670
3 , 7 , 0 , 1.55032 , 5.94026 , 7.09903 , 1616549156 , 810870457
3 , 8 , 0 , 1.55532 , 5.81163 , 20.2796 , 1616549197 , 210656952
