theodolite_number , marker_number , status , elevation , azimuth , distance , sec , nsec
1 , 1 , 0 , 1.5998 , 2.90089 , 14.8335 , 1617286180 , 721034147
1 , 2 , 0 , 1.57661 , 2.92663 , 33.3161 , 1617286225 , 124912411
1 , 3 , 0 , 1.58716 , 0.687438 , 8.33063 , 1617286282 , 724610671
1 , 4 , 0 , 1.56756 , 0.529483 , 29.1085 , 1617286368 , 324216992
2 , 1 , 0 , 1.57014 , 4.05403 , 13.5505 , 1616541613 , 455891669
2 , 2 , 0 , 1.56332 , 4.07781 , 32.0425 , 1616541659 , 455878682
2 , 3 , 0 , 1.53789 , 1.71856 , 9.10228 , 1616541715 , 456929546
2 , 4 , 0 , 1.55316 , 1.64622 , 29.9911 , 1616541801 , 56933576
3 , 1 , 0 , 1.55462 , 5.40803 , 12.9294 , 1616543887 , 907133405
3 , 2 , 0 , 1.5568 , 5.44715 , 31.4093 , 1616543933 , 908182710
3 , 3 , 0 , 1.51969 , 3.07469 , 9.78401 , 1616543985 , 907147273
3 , 4 , 0 , 1.54704 , 3.01971 , 30.6819 , 1616544071 , 907625991
