theodolite_number , marker_number , status , elevation , azimuth , distance , sec , nsec
1 , 1 , 0 , 1.47233 , 0.892494 , 3.20003 , 1617283166 , 731660193
1 , 2 , 0 , 1.55282 , 0.83931 , 18.198 , 1617283213 , 129812987
1 , 3 , 0 , 1.55405 , 0.758645 , 36.282 , 1617283268 , 730847602
1 , 4 , 0 , 1.55852 , 1.22229 , 25.5006 , 1617283321 , 132478832
1 , 5 , 0 , 1.5662 , 2.13986 , 24.2285 , 1617283515 , 535470893
1 , 6 , 0 , 1.56348 , 3.15264 , 26.4871 , 1617283659 , 537000369
1 , 7 , 0 , 1.55299 , 3.57813 , 20.9435 , 1617283921 , 540792248
1 , 8 , 0 , 1.52694 , 3.69215 , 6.84834 , 1617283989 , 941316337
2 , 1 , 0 , 1.52446 , 0.0804539 , 4.89405 , 1616540516 , 540033285
2 , 2 , 0 , 1.55886 , 0.0863506 , 19.9065 , 1616540564 , 540838683
2 , 3 , 0 , 1.55718 , 0.0156133 , 38.0059 , 1616540618 , 140432725
2 , 4 , 0 , 1.5625 , 0.449878 , 27.0017 , 1616540676 , 542048432
2 , 5 , 0 , 1.5699 , 1.33 , 24.4901 , 1616540867 , 342565703
2 , 6 , 0 , 1.56668 , 2.36998 , 25.1625 , 1616541013 , 343683200
2 , 7 , 0 , 1.55612 , 2.81624 , 19.2745 , 1616541276 , 543083828
2 , 8 , 0 , 1.53006 , 2.90703 , 5.14115 , 1616541339 , 744939794
3 , 1 , 0 , 1.46306 , 0.698866 , 4.00139 , 1616541187 , 29777560
3 , 2 , 0 , 1.54725 , 0.700592 , 18.9987 , 1616541237 , 430841238
3 , 3 , 0 , 1.55107 , 0.627377 , 37.0989 , 1616541288 , 630588927
3 , 4 , 0 , 1.55425 , 1.07602 , 26.1651 , 1616541352 , 229812809
3 , 5 , 0 , 1.56123 , 1.97876 , 24.2422 , 1616541555 , 430791898
3 , 6 , 0 , 1.55863 , 3.00869 , 25.7913 , 1616541711 , 31777360
3 , 7 , 0 , 1.54628 , 3.44574 , 20.1291 , 1616541952 , 630541903
3 , 8 , 0 , 1.50172 , 3.56278 , 6.03169 , 1616542012 , 231947662
