theodolite_number , marker_number , status , elevation , azimuth , distance , sec , nsec
1 , 1 , 0 , 1.55238 , 1.49416 , 24.4496 , 1617284707 , 28081115
1 , 2 , 0 , 1.5269 , 2.22311 , 13.2266 , 1617284751 , 827939223
1 , 3 , 0 , 1.54483 , 2.24243 , 31.2072 , 1617284833 , 827635130
1 , 4 , 0 , 1.55688 , 0.44596 , 22.6273 , 1617284929 , 829778583
1 , 5 , 0 , 1.55405 , 5.93569 , 27.4473 , 1617285016 , 629678341
1 , 6 , 0 , 1.54796 , 5.35728 , 36.0107 , 1617285093 , 30614406
1 , 7 , 0 , 1.54604 , 4.97661 , 23.5726 , 1617285167 , 32121721
1 , 8 , 0 , 1.52482 , 5.46487 , 12.1088 , 1617285230 , 230763312
2 , 1 , 0 , 1.57187 , 3.92468 , 25.7027 , 1616540711 , 608391075
2 , 2 , 0 , 1.56382 , 4.60613 , 14.6465 , 1616540760 , 807210692
2 , 3 , 0 , 1.5606 , 4.63461 , 32.6268 , 1616540834 , 406152434
2 , 4 , 0 , 1.57797 , 2.91133 , 22.6403 , 1616540944 , 807569319
2 , 5 , 0 , 1.57151 , 2.09133 , 26.4044 , 1616541020 , 808054030
2 , 6 , 0 , 1.56084 , 1.48259 , 34.5726 , 1616541097 , 607555147
2 , 7 , 0 , 1.56604 , 1.08125 , 22.1446 , 1616541171 , 605700795
2 , 8 , 0 , 1.56359 , 1.62091 , 10.71 , 1616541232 , 807303949
3 , 1 , 0 , 1.57888 , 5.25602 , 26.9631 , 1616540939 , 715277654
3 , 2 , 0 , 1.57641 , 5.89615 , 16.051 , 1616540996 , 516883049
3 , 3 , 0 , 1.56662 , 5.9319 , 34.0216 , 1616541062 , 516441357
3 , 4 , 0 , 1.58641 , 4.27978 , 22.769 , 1616541177 , 716065220
3 , 5 , 0 , 1.57903 , 3.43775 , 25.4431 , 1616541254 , 516078732
3 , 6 , 0 , 1.56613 , 2.79705 , 33.179 , 1616541325 , 716103184
3 , 7 , 0 , 1.57504 , 2.3734 , 20.7524 , 1616541407 , 717320705
3 , 8 , 0 , 1.58338 , 2.97704 , 9.38087 , 1616541464 , 518207350
