theodolite_number , marker_number , status , elevation , azimuth , distance , sec , nsec
1 , 1 , 0 , 1.41064 , 2.45487 , 8.09493 , 1617286013 , 645006346
1 , 2 , 0 , 1.47582 , 2.8656 , 12.5356 , 1617286049 , 244169874
1 , 3 , 0 , 1.5107 , 3.04935 , 19.5134 , 1617286097 , 646398293
1 , 4 , 0 , 1.52196 , 2.73395 , 21.8147 , 1617286139 , 646171611
1 , 5 , 0 , 1.51884 , 2.39444 , 20.5788 , 1617286193 , 247932944
1 , 6 , 0 , 1.52346 , 2.08778 , 19.1907 , 1617286238 , 445038500
1 , 7 , 0 , 1.53477 , 1.82915 , 22.9931 , 1617286289 , 247085304
1 , 8 , 0 , 1.53904 , 2.04954 , 30.2651 , 1617286348 , 448012416
1 , 9 , 0 , 1.53765 , 2.33774 , 30.8465 , 1617286406 , 449919321
1 , 10 , 0 , 1.54052 , 2.84606 , 31.064 , 1617286466 , 449903101
2 , 1 , 0 , 1.45235 , 3.90749 , 9.03488 , 1616543526 , 134859533
2 , 2 , 0 , 1.50202 , 4.20803 , 14.0484 , 1616543565 , 737446601
2 , 3 , 0 , 1.52622 , 4.34383 , 21.2261 , 1616543614 , 533951374
2 , 4 , 0 , 1.53455 , 4.04448 , 23.1254 , 1616543654 , 534975369
2 , 5 , 0 , 1.53133 , 3.72643 , 21.3212 , 1616543711 , 734978576
2 , 6 , 0 , 1.53551 , 3.43481 , 19.3462 , 1616543754 , 933981997
2 , 7 , 0 , 1.5442 , 3.15858 , 22.6086 , 1616543808 , 535082446
2 , 8 , 0 , 1.54665 , 3.35843 , 30.3027 , 1616543867 , 334874819
2 , 9 , 0 , 1.54548 , 3.64172 , 31.4564 , 1616543924 , 934616828
2 , 10 , 0 , 1.54892 , 4.13203 , 32.5253 , 1616543982 , 135650765
3 , 1 , 0 , 1.38273 , 0.277538 , 7.3371 , 1616543725 , 273675446
3 , 2 , 0 , 1.4004 , 1.13143 , 7.51055 , 1616543769 , 273224752
3 , 3 , 0 , 1.47441 , 1.66227 , 13.0059 , 1616543814 , 73938068
3 , 4 , 0 , 1.50296 , 1.27548 , 16.8608 , 1616543864 , 73797059
3 , 5 , 0 , 1.50693 , 0.860394 , 17.9924 , 1616543919 , 673938132
3 , 6 , 0 , 1.51867 , 0.525457 , 18.9419 , 1616543968 , 873981394
3 , 7 , 0 , 1.53354 , 0.348387 , 24.3564 , 1616544011 , 274712941
3 , 8 , 0 , 1.53601 , 0.630293 , 29.7705 , 1616544070 , 474421095
3 , 9 , 0 , 1.53181 , 0.930066 , 28.2336 , 1616544132 , 73182218
3 , 10 , 0 , 1.53057 , 1.51044 , 25.2672 , 1616544187 , 275460582
