theodolite_number , marker_number , status , elevation , azimuth , distance , sec , nsec
1 , 1 , 0 , 1.44995 , 4.14322 , 3.57541 , 1617282766 , 772917116
1 , 2 , 0 , 1.39844 , 5.60622 , 3.07192 , 1617282816 , 774240170
1 , 3 , 0 , 1.47427 , 6.18284 , 6.03499 , 1617282844 , 772759690
1 , 4 , 0 , 1.54471 , 0.048341 , 15.202 , 1617282883 , 972513165
1 , 5 , 0 , 1.57293 , 0.106154 , 24.5851 , 1617282932 , 373239344
1 , 6 , 0 , 1.58489 , 0.115122 , 32.857 , 1617282973 , 573798495
1 , 7 , 0 , 1.59554 , 0.119904 , 42.1225 , 1617283050 , 375280862
1 , 8 , 0 , 1.60133 , 0.181931 , 56.7421 , 1617283134 , 776838434
1 , 9 , 0 , 1.60937 , 0.187646 , 66.529 , 1617283202 , 776852575
1 , 10 , 0 , 1.61618 , 0.191153 , 79.3362 , 1617283294 , 777808894
1 , 11 , 0 , 1.6255 , 0.180263 , 91.4462 , 1617283433 , 179445039
1 , 12 , 0 , 1.60539 , 0.143099 , 57.4263 , 1617283585 , 981176491
2 , 1 , 0 , 1.47183 , 2.11935 , 2.57967 , 1616540276 , 571576658
2 , 2 , 0 , 1.46406 , 3.80918 , 3.3152 , 1616540327 , 769581326
2 , 3 , 0 , 1.51003 , 4.19235 , 6.70995 , 1616540357 , 773180950
2 , 4 , 0 , 1.55702 , 4.26613 , 15.9688 , 1616540398 , 571560778
2 , 5 , 0 , 1.57966 , 4.30626 , 25.3892 , 1616540443 , 374030761
2 , 6 , 0 , 1.58958 , 4.30881 , 33.6654 , 1616540488 , 572363348
2 , 7 , 0 , 1.59907 , 4.31063 , 43.2634 , 1616540570 , 173063160
2 , 8 , 0 , 1.60377 , 4.36687 , 57.5892 , 1616540649 , 774096151
2 , 9 , 0 , 1.61132 , 4.37105 , 67.3798 , 1616540731 , 773192005
2 , 10 , 0 , 1.61772 , 4.37317 , 80.1906 , 1616540807 , 374751768
2 , 11 , 0 , 1.62673 , 4.36145 , 92.2978 , 1616540964 , 174976187
2 , 12 , 0 , 1.60774 , 4.32848 , 58.2526 , 1616541110 , 975644673
3 , 1 , 0 , 1.62541 , 3.38754 , 2.90198 , 1616540883 , 627106373
3 , 2 , 0 , 1.58525 , 4.6799 , 4.2216 , 1616540934 , 827115260
3 , 3 , 0 , 1.57212 , 5.04892 , 7.46533 , 1616540964 , 826411290
3 , 4 , 0 , 1.58255 , 5.16429 , 16.6753 , 1616541009 , 227740648
3 , 5 , 0 , 1.59551 , 5.21761 , 26.0724 , 1616541052 , 427654799
3 , 6 , 0 , 1.60151 , 5.22647 , 34.3503 , 1616541093 , 228125825
3 , 7 , 0 , 1.60868 , 5.23452 , 44.4575 , 1616541188 , 828108184
3 , 8 , 0 , 1.61072 , 5.29209 , 58.2344 , 1616541264 , 427855291
3 , 9 , 0 , 1.61721 , 5.29803 , 68.023 , 1616541356 , 828088589
3 , 10 , 0 , 1.62267 , 5.30182 , 80.8359 , 1616541423 , 627608615
3 , 11 , 0 , 1.63099 , 5.29136 , 92.9528 , 1616541624 , 427434737
3 , 12 , 0 , 1.61456 , 5.25427 , 58.924 , 1616541732 , 26717508
