theodolite_number , marker_number , status , elevation , azimuth , distance , sec , nsec
1 , 1 , 0 , 1.71312 , 5.07828 , 4.05275 , 1651698390 , 142691695
1 , 2 , 0 , 1.65719 , 4.7846 , 6.7923 , 1651698418 , 541564445
1 , 3 , 0 , 1.61593 , 4.82484 , 12.1669 , 1651698468 , 942285051
1 , 4 , 0 , 1.59494 , 4.81502 , 20.3725 , 1651698489 , 743044157
1 , 5 , 0 , 1.58439 , 4.81253 , 29.593 , 1651698516 , 143785866
1 , 6 , 0 , 1.5765 , 4.82551 , 43.9441 , 1651698545 , 343415334
1 , 7 , 0 , 1.76704 , 3.47526 , 2.95738 , 1651698624 , 144262960
1 , 8 , 0 , 1.63151 , 3.43511 , 9.32591 , 1651698644 , 545790817
1 , 9 , 0 , 1.59912 , 3.35076 , 17.8502 , 1651698677 , 746261846
1 , 10 , 0 , 1.58798 , 3.28089 , 26.751 , 1651698703 , 345796263
1 , 11 , 0 , 1.58362 , 3.28186 , 34.8895 , 1651698724 , 146176776
1 , 12 , 0 , 1.58043 , 3.27371 , 43.7606 , 1651698750 , 548776506
2 , 1 , 0 , 1.76619 , 4.11956 , 3.23658 , 1651699820 , 391641478
2 , 2 , 0 , 1.67284 , 3.94183 , 6.25556 , 1651699848 , 791255374
2 , 3 , 0 , 1.62299 , 4.07577 , 11.5191 , 1651699899 , 192386136
2 , 4 , 0 , 1.59838 , 4.10898 , 19.7093 , 1651699919 , 993607951
2 , 5 , 0 , 1.58637 , 4.12594 , 28.9206 , 1651699946 , 392255180
2 , 6 , 0 , 1.57765 , 4.15295 , 43.2483 , 1651699975 , 594649857
2 , 7 , 0 , 1.72607 , 2.58933 , 4.07785 , 1651700054 , 392952066
2 , 8 , 0 , 1.63016 , 2.70189 , 10.4207 , 1651700074 , 794227319
2 , 9 , 0 , 1.59998 , 2.66228 , 18.9959 , 1651700107 , 994326577
2 , 10 , 0 , 1.589 , 2.6093 , 27.9433 , 1651700133 , 594364848
2 , 11 , 0 , 1.58449 , 2.61625 , 36.0767 , 1651700154 , 396244424
2 , 12 , 0 , 1.58113 , 2.61242 , 44.9526 , 1651700180 , 796378893
3 , 1 , 0 , 1.77515 , 3.4111 , 2.43245 , 1616541714 , 807875015
3 , 2 , 0 , 1.66274 , 3.25375 , 5.50215 , 1616541743 , 206724275
3 , 3 , 0 , 1.6145 , 3.42745 , 10.7244 , 1616541793 , 608514568
3 , 4 , 0 , 1.59259 , 3.47153 , 18.9072 , 1616541814 , 408646956
3 , 5 , 0 , 1.58227 , 3.49256 , 28.1164 , 1616541840 , 806774290
3 , 6 , 0 , 1.57481 , 3.52238 , 42.4407 , 1616541870 , 7239435
3 , 7 , 0 , 1.68692 , 1.7734 , 4.30036 , 1616541950 , 410010862
3 , 8 , 0 , 1.61705 , 1.99725 , 10.5199 , 1616541969 , 207892105
3 , 9 , 0 , 1.593 , 1.99299 , 19.1169 , 1616542002 , 407256363
3 , 10 , 0 , 1.58434 , 1.95392 , 28.1023 , 1616542028 , 7995260
3 , 11 , 0 , 1.5809 , 1.9673 , 36.229 , 1616542048 , 809278689
3 , 12 , 0 , 1.57834 , 1.96791 , 45.1063 , 1616542075 , 208892325
