theodolite_number , marker_number , status , elevation , azimuth , distance , sec , nsec
1 , 1 , 0 , 1.53098 , 1.61351 , 7.79064 , 1651698214 , 610854210
1 , 2 , 0 , 1.55188 , 1.40935 , 14.8935 , 1651698252 , 611378518
1 , 3 , 0 , 1.55518 , 1.6449 , 17.1536 , 1651698301 , 812516625
1 , 4 , 0 , 1.55421 , 1.97532 , 18.9113 , 1651698331 , 813009374
1 , 5 , 0 , 1.55151 , 2.40323 , 19.164 , 1651698387 , 814495498
1 , 6 , 0 , 1.54474 , 2.7489 , 16.4047 , 1651698438 , 615228916
1 , 7 , 0 , 1.53719 , 3.03042 , 14.0748 , 1651698491 , 15614782
1 , 8 , 0 , 1.53038 , 3.50394 , 12.892 , 1651698528 , 615542371
1 , 9 , 0 , 1.52943 , 4.01166 , 12.4697 , 1651698563 , 415238244
1 , 10 , 0 , 1.52829 , 4.37714 , 11.789 , 1651698599 , 16654376
1 , 11 , 0 , 1.53545 , 4.91275 , 12.5417 , 1651698631 , 418647020
1 , 12 , 0 , 1.54028 , 5.57032 , 12.9677 , 1651698667 , 819643673
1 , 13 , 0 , 1.54372 , 6.0489 , 12.2081 , 1651698697 , 20354130
1 , 14 , 0 , 1.5478 , 0.395221 , 13.4474 , 1651698754 , 620636504
1 , 15 , 0 , 1.54926 , 0.902885 , 14.2941 , 1651698788 , 620375189
2 , 1 , 0 , 1.57688 , 4.92752 , 5.59328 , 1651699653 , 746857271
2 , 2 , 0 , 1.57555 , 4.93011 , 13.0348 , 1651699692 , 948940537
2 , 3 , 0 , 1.57617 , 5.22932 , 14.5657 , 1651699740 , 547698905
2 , 4 , 0 , 1.57257 , 5.63539 , 15.6305 , 1651699776 , 546787953
2 , 5 , 0 , 1.56897 , 6.15857 , 15.6436 , 1651699834 , 946052098
2 , 6 , 0 , 1.56436 , 0.313207 , 13.2661 , 1651699877 , 747431509
2 , 7 , 0 , 1.55971 , 0.683468 , 11.6175 , 1651699929 , 748901280
2 , 8 , 0 , 1.55575 , 1.23355 , 12.0034 , 1651699969 , 348672307
2 , 9 , 0 , 1.55754 , 1.7311 , 13.3559 , 1651700006 , 548832345
2 , 10 , 0 , 1.55952 , 2.05949 , 13.7936 , 1651700039 , 748101447
2 , 11 , 0 , 1.56428 , 2.48458 , 15.6595 , 1651700070 , 149703727
2 , 12 , 0 , 1.56743 , 3.00089 , 16.4828 , 1651700108 , 149819598
2 , 13 , 0 , 1.57161 , 3.37427 , 15.278 , 1651700139 , 747375784
2 , 14 , 0 , 1.57282 , 3.90989 , 15.0439 , 1651700195 , 749595606
2 , 15 , 0 , 1.57311 , 4.39104 , 14.1925 , 1651700229 , 749564343
3 , 1 , 0 , 1.54059 , 6.27939 , 4.67109 , 1616541619 , 825101613
3 , 2 , 0 , 1.56103 , 0.333623 , 11.6792 , 1616541659 , 26628161
3 , 3 , 0 , 1.56294 , 0.693129 , 12.4542 , 1616541710 , 625939652
3 , 4 , 0 , 1.55962 , 1.18484 , 12.871 , 1616541742 , 626042087
3 , 5 , 0 , 1.55524 , 1.82447 , 12.8535 , 1616541806 , 627643730
3 , 6 , 0 , 1.54773 , 2.37194 , 11.1687 , 1616541845 , 428474288
3 , 7 , 0 , 1.54183 , 2.82008 , 10.4931 , 1616541893 , 827413384
3 , 8 , 0 , 1.54257 , 3.36296 , 12.4382 , 1616541935 , 828250503
3 , 9 , 0 , 1.54766 , 3.79272 , 15.0315 , 1616541974 , 227429343
3 , 10 , 0 , 1.55015 , 4.07199 , 16.0964 , 1616542005 , 428198081
3 , 11 , 0 , 1.55594 , 4.42372 , 18.4554 , 1616542032 , 630085362
3 , 12 , 0 , 1.55893 , 4.8615 , 19.3171 , 1616542075 , 828573054
3 , 13 , 0 , 1.5618 , 5.17636 , 17.7417 , 1616542107 , 428087625
3 , 14 , 0 , 1.56209 , 5.6443 , 16.4709 , 1616542159 , 429421356
3 , 15 , 0 , 1.56123 , 6.08275 , 14.3476 , 1616542191 , 828459260
