theodolite_number , marker_number , status , elevation , azimuth , distance , sec , nsec
1 , 1 , 0 , 1.58168 , 3.45535 , 17.6435 , 1657290012 , 109657862
1 , 2 , 0 , 1.57165 , 3.99973 , 19.9483 , 1657290050 , 509502171
1 , 3 , 0 , 1.5603 , 4.5894 , 30.1372 , 1657290084 , 111519241
1 , 4 , 0 , 1.56402 , 4.75128 , 46.4984 , 1657290116 , 511754698
1 , 5 , 0 , 1.56687 , 4.93682 , 54.2826 , 1657290158 , 912845567
1 , 6 , 0 , 1.57366 , 5.28079 , 50.3001 , 1657290198 , 513717896
1 , 7 , 0 , 1.57372 , 5.46886 , 40.3154 , 1657290226 , 914611895
1 , 8 , 0 , 1.57557 , 5.63104 , 24.3339 , 1657290261 , 714889017
1 , 9 , 0 , 1.58507 , 0.0650179 , 18.2756 , 1657290292 , 115614266
1 , 10 , 0 , 1.58934 , 0.575097 , 19.2705 , 1657290316 , 516147017
2 , 1 , 0 , 1.56655 , 2.96826 , 23.4962 , 1651701087 , 360739380
2 , 2 , 0 , 1.55997 , 3.38694 , 25.4515 , 1651701125 , 760582491
2 , 3 , 0 , 1.5527 , 3.92178 , 33.6731 , 1651701159 , 361820447
2 , 4 , 0 , 1.55841 , 4.12136 , 49.1192 , 1651701191 , 763373768
2 , 5 , 0 , 1.5617 , 4.31423 , 55.8619 , 1651701234 , 162578283
2 , 6 , 0 , 1.56781 , 4.64394 , 49.9101 , 1651701273 , 763975559
2 , 7 , 0 , 1.56627 , 4.80488 , 38.9088 , 1651701302 , 163586746
2 , 8 , 0 , 1.56274 , 4.87422 , 22.2665 , 1651701336 , 966271421
2 , 9 , 0 , 1.56806 , 5.66038 , 12.9884 , 1651701367 , 365738440
2 , 10 , 0 , 1.57547 , 0.113029 , 13.4562 , 1651701391 , 765509785
3 , 1 , 0 , 1.56513 , 3.13225 , 12.5855 , 1616543126 , 881473591
3 , 2 , 0 , 1.55638 , 3.78774 , 16.9272 , 1616543165 , 281917326
3 , 3 , 0 , 1.55134 , 4.31163 , 29.9971 , 1616543198 , 882523719
3 , 4 , 0 , 1.55848 , 4.40804 , 47.0603 , 1616543231 , 281323915
3 , 5 , 0 , 1.56228 , 4.57287 , 55.7808 , 1616543277 , 681666294
3 , 6 , 0 , 1.56859 , 4.90733 , 53.4571 , 1616543313 , 282228936
3 , 7 , 0 , 1.56753 , 5.09887 , 44.2568 , 1616543341 , 681148509
3 , 8 , 0 , 1.56569 , 5.28579 , 28.8753 , 1616543376 , 483122506
3 , 9 , 0 , 1.57069 , 5.87283 , 23.7182 , 1616543406 , 884008744
3 , 10 , 0 , 1.57478 , 6.27436 , 24.0168 , 1616543431 , 281102277
