theodolite_number , marker_number , status , elevation , azimuth , distance , sec , nsec
1 , 1 , 0 , 1.58168 , 3.45535 , 17.6435 , 1657290012 , 109657862
1 , 2 , 0 , 1.57165 , 3.99973 , 19.9483 , 1657290050 , 509502171
1 , 3 , 0 , 1.5603 , 4.5894 , 30.1372 , 1657290084 , 111519241
1 , 4 , 0 , 1.56402 , 4.75128 , 46.4984 , 1657290116 , 511754698
1 , 5 , 0 , 1.56687 , 4.93682 , 54.2826 , 1657290158 , 912845567
1 , 6 , 0 , 1.57366 , 5.28079 , 50.3001 , 1657290198 , 513717896
1 , 7 , 0 , 1.57372 , 5.46886 , 40.3154 , 1657290226 , 914611895
1 , 8 , 0 , 1.57557 , 5.63104 , 24.3339 , 1657290261 , 714889017
1 , 9 , 0 , 1.58507 , 0.0650179 , 18.2756 , 1657290292 , 115614266
1 , 10 , 0 , 1.58934 , 0.575097 , 19.2705 , 1657290316 , 516147017
1 , 1 , 0 , 1.58506 , 1.25962 , 33.1648 , 1657290412 , 913620887
1 , 2 , 0 , 1.5828 , 1.47206 , 45.7335 , 1657290450 , 112359206
1 , 3 , 0 , 1.5834 , 1.56631 , 60.2112 , 1657290479 , 313111955
1 , 4 , 0 , 1.58288 , 1.67754 , 69.6465 , 1657290505 , 313974862
1 , 5 , 0 , 1.57878 , 1.85577 , 72.998 , 1657290551 , 315029792
1 , 6 , 0 , 1.58135 , 2.00228 , 67.4456 , 1657290586 , 914878008
1 , 7 , 0 , 1.58422 , 2.07113 , 54.3632 , 1657290684 , 119453023
1 , 8 , 0 , 1.58759 , 2.18583 , 42.418 , 1657290722 , 517945091
1 , 9 , 0 , 1.58464 , 2.39583 , 34.003 , 1657290752 , 920645861
1 , 10 , 0 , 1.58577 , 2.69236 , 24.5439 , 1657290778 , 922056112
1 , 1 , 0 , 1.56697 , 4.79868 , 73.2647 , 1657290990 , 352921708
1 , 2 , 0 , 1.56893 , 4.84071 , 102.483 , 1657291036 , 352758670
1 , 3 , 0 , 1.57035 , 4.86346 , 126.176 , 1657291077 , 154125112
1 , 4 , 0 , 1.56864 , 4.87867 , 152.46 , 1657291134 , 754893580
1 , 5 , 0 , 1.56954 , 4.90958 , 184.642 , 1657291211 , 956497249
1 , 6 , 0 , 1.57034 , 4.96689 , 192.006 , 1657291381 , 159595413
1 , 7 , 0 , 1.56968 , 5.03368 , 157.405 , 1657291469 , 161659286
1 , 8 , 0 , 1.57045 , 5.03697 , 123.967 , 1657291520 , 361404787
1 , 9 , 0 , 1.57044 , 5.05671 , 93.0442 , 1657291562 , 362767219
1 , 10 , 0 , 1.57126 , 5.09318 , 71.0065 , 1657291599 , 96405069
1 , 1 , 0 , 1.57945 , 1.70136 , 105.733 , 1657291804 , 905523793
1 , 2 , 0 , 1.57981 , 1.73439 , 142.854 , 1657291868 , 107745644
1 , 3 , 0 , 1.57906 , 1.7428 , 176.611 , 1657291950 , 108763477
1 , 4 , 0 , 1.57755 , 1.74096 , 221.919 , 1657292153 , 313642931
1 , 5 , 0 , 1.5767 , 1.76705 , 247.244 , 1657292201 , 713022965
1 , 6 , 0 , 1.57782 , 1.84847 , 247.166 , 1657292271 , 713844292
1 , 7 , 0 , 1.57809 , 1.86056 , 210.501 , 1657292343 , 316262546
1 , 8 , 0 , 1.57897 , 1.8714 , 179.185 , 1657292385 , 317750082
1 , 9 , 0 , 1.57929 , 1.89499 , 142.484 , 1657292434 , 916867355
1 , 10 , 0 , 1.57878 , 1.91501 , 112.668 , 1657292483 , 319318899
2 , 1 , 0 , 1.56655 , 2.96826 , 23.4962 , 1651701087 , 360739380
2 , 2 , 0 , 1.55997 , 3.38694 , 25.4515 , 1651701125 , 760582491
2 , 3 , 0 , 1.5527 , 3.92178 , 33.6731 , 1651701159 , 361820447
2 , 4 , 0 , 1.55841 , 4.12136 , 49.1192 , 1651701191 , 763373768
2 , 5 , 0 , 1.5617 , 4.31423 , 55.8619 , 1651701234 , 162578283
2 , 6 , 0 , 1.56781 , 4.64394 , 49.9101 , 1651701273 , 763975559
2 , 7 , 0 , 1.56627 , 4.80488 , 38.9088 , 1651701302 , 163586746
2 , 8 , 0 , 1.56274 , 4.87422 , 22.2665 , 1651701336 , 966271421
2 , 9 , 0 , 1.56806 , 5.66038 , 12.9884 , 1651701367 , 365738440
2 , 10 , 0 , 1.57547 , 0.113029 , 13.4562 , 1651701391 , 765509785
2 , 1 , 0 , 1.57695 , 0.886266 , 29.4445 , 1651701488 , 459489227
2 , 2 , 0 , 1.57677 , 1.0701 , 42.9915 , 1651701525 , 259009630
2 , 3 , 0 , 1.57883 , 1.13856 , 57.9042 , 1651701554 , 457703161
2 , 4 , 0 , 1.57887 , 1.23992 , 67.927 , 1651701580 , 858029921
2 , 5 , 0 , 1.57477 , 1.41673 , 72.303 , 1651701626 , 458625321
2 , 6 , 0 , 1.57698 , 1.56991 , 67.6314 , 1651701671 , 659028480
2 , 7 , 0 , 1.57868 , 1.65863 , 55.0127 , 1651701759 , 661014905
2 , 8 , 0 , 1.58038 , 1.79909 , 43.8071 , 1651701798 , 61486401
