theodolite_number , marker_number , status , elevation , azimuth , distance , sec , nsec
1 , 1 , 0 , 1.57439 , 6.07034 , 289.112 , 1657288197 , 110415534
1 , 2 , 0 , 1.57737 , 5.98286 , 108.763 , 1657288453 , 113642624
1 , 3 , 0 , 1.57078 , 3.1815 , 76.2841 , 1657288690 , 318317898
1 , 4 , 0 , 1.5657 , 3.03954 , 260.286 , 1657288859 , 918670958
2 , 1 , 0 , 1.57442 , 1.88794 , 290.531 , 1651700427 , 940022861
2 , 2 , 0 , 1.57737 , 1.83354 , 109.777 , 1651700684 , 344072086
2 , 3 , 0 , 1.57083 , 5.19294 , 73.7202 , 1651700921 , 149062725
2 , 4 , 0 , 1.56568 , 5.09962 , 258.358 , 1651701090 , 351083286
3 , 1 , 0 , 1.57416 , 0.109917 , 289.25 , 1616542426 , 905607816
3 , 2 , 0 , 1.57676 , 0.083486 , 108.296 , 1616542683 , 309115999
3 , 3 , 0 , 1.56981 , 3.32891 , 74.3987 , 1616542920 , 109232524
3 , 4 , 0 , 1.56541 , 3.28493 , 259.383 , 1616543089 , 311348657
