theodolite_number , marker_number , status , elevation , azimuth , distance , sec , nsec
1 , 1 , 0 , 1.57064 , 2.28123 , 15.8838 , 1657289480 , 48889211
1 , 2 , 0 , 1.56019 , 2.54952 , 24.6611 , 1657289514 , 448397427
1 , 3 , 0 , 1.56183 , 2.78488 , 34.8764 , 1657289548 , 848264185
1 , 4 , 0 , 1.56299 , 2.84369 , 47.3519 , 1657289584 , 449190421
1 , 5 , 0 , 1.56605 , 3.04414 , 52.7137 , 1657289614 , 49459264
1 , 6 , 0 , 1.57191 , 3.29045 , 54.5189 , 1657289642 , 450412274
1 , 7 , 0 , 1.57135 , 3.36798 , 43.6841 , 1657289668 , 451248410
1 , 8 , 0 , 1.57482 , 3.50963 , 34.4518 , 1657289695 , 650635171
1 , 9 , 0 , 1.5708 , 3.7209 , 22.0782 , 1657289721 , 249653442
1 , 10 , 0 , 1.56766 , 3.17412 , 23.0555 , 1657289749 , 651429108
2 , 1 , 0 , 1.57097 , 4.07705 , 18.9822 , 1651701710 , 673551278
2 , 2 , 0 , 1.56098 , 4.40815 , 26.1334 , 1651701745 , 75822671
2 , 3 , 0 , 1.56204 , 4.69865 , 34.8203 , 1651701779 , 473866304
2 , 4 , 0 , 1.56305 , 4.80158 , 46.8243 , 1651701815 , 75970926
2 , 5 , 0 , 1.56602 , 5.01792 , 50.9949 , 1651701844 , 677792112
2 , 6 , 0 , 1.57202 , 5.27798 , 51.4572 , 1651701873 , 75246320
2 , 7 , 0 , 1.57149 , 5.33615 , 40.2897 , 1651701899 , 76740425
2 , 8 , 0 , 1.5755 , 5.4596 , 30.4566 , 1651701926 , 277525362
2 , 9 , 0 , 1.5714 , 5.62795 , 17.34 , 1651701951 , 880110457
2 , 10 , 0 , 1.56772 , 5.00683 , 20.994 , 1651701980 , 278008727
3 , 1 , 0 , 1.56771 , 2.2064 , 23.8675 , 1616543709 , 648735973
3 , 2 , 0 , 1.5599 , 2.50484 , 30.2822 , 1616543744 , 49174449
3 , 3 , 0 , 1.56072 , 2.7907 , 37.9314 , 1616543778 , 449016363
3 , 4 , 0 , 1.56192 , 2.91444 , 49.4478 , 1616543814 , 50209995
3 , 5 , 0 , 1.56472 , 3.12844 , 52.6142 , 1616543843 , 650012692
3 , 6 , 0 , 1.57055 , 3.38327 , 51.778 , 1616543872 , 53438931
3 , 7 , 0 , 1.56955 , 3.41341 , 40.3841 , 1616543898 , 50321421
3 , 8 , 0 , 1.57305 , 3.4948 , 30.0218 , 1616543925 , 250995526
3 , 9 , 0 , 1.56661 , 3.53217 , 16.3758 , 1616543950 , 850788537
3 , 10 , 0 , 1.56461 , 2.9951 , 22.9725 , 1616543979 , 250915818
