"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 00:00","2022","04","01","00:00","0,7","","0,6","","99","","0,0","","0","","1","","","","91,60","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 01:00","2022","04","01","01:00","0,7","","0,6","","99","","0,0","","14","","1","","","","91,52","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 02:00","2022","04","01","02:00","4,1","","4,1","","100","","0,2","","21","","6","","","","91,50","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 03:00","2022","04","01","03:00","4,2","","4,1","","100","","0,0","","21","","10","","","","91,49","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 04:00","2022","04","01","04:00","3,4","","3,3","","99","","0,3","","21","","7","","","","91,52","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 05:00","2022","04","01","05:00","2,5","","2,4","","99","","0,0","","22","","7","","","","91,50","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 06:00","2022","04","01","06:00","2,0","","2,0","","100","","0,2","","20","","5","","","","91,61","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 07:00","2022","04","01","07:00","2,4","","1,9","","97","","0,0","","24","","4","","","","91,59","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 08:00","2022","04","01","08:00","1,9","","1,2","","95","","0,0","","22","","7","","","","91,60","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 09:00","2022","04","01","09:00","1,9","","1,0","","94","","0,0","","28","","6","","","","91,59","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 10:00","2022","04","01","10:00","1,7","","0,1","","89","","0,0","","26","","11","","","","91,60","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 11:00","2022","04","01","11:00","2,3","","0,7","","89","","0,0","","25","","7","","","","91,61","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 12:00","2022","04","01","12:00","3,2","","0,4","","82","","0,0","","26","","5","","","","91,54","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 13:00","2022","04","01","13:00","3,5","","-0,6","","75","","0,0","","30","","9","","","","91,46","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 14:00","2022","04","01","14:00","3,1","","0,4","","82","","0,0","","26","","7","","","","91,44","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 15:00","2022","04","01","15:00","2,1","","0,0","","86","","0,2","","29","","8","","","","91,43","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 16:00","2022","04","01","16:00","1,6","","0,3","","91","","0,5","","28","","4","","","","91,49","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 17:00","2022","04","01","17:00","0,7","","-1,2","","87","","0,2","","32","","11","","","","91,57","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 18:00","2022","04","01","18:00","0,2","","-1,4","","89","","0,2","","32","","12","","","","91,60","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 19:00","2022","04","01","19:00","-1,6","","-4,2","","82","","0,0","","35","","14","","","","91,69","","","","-6","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 20:00","2022","04","01","20:00","-2,6","","-4,9","","84","","0,0","","35","","10","","","","91,72","","","","-6","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 21:00","2022","04","01","21:00","-3,7","","-6,2","","82","","0,0","","35","","15","","","","91,76","","","","-9","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 22:00","2022","04","01","22:00","-4,4","","-7,0","","82","","0,2","","34","","17","","","","91,85","","","","-10","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-01 23:00","2022","04","01","23:00","-5,7","","-8,8","","79","","0,0","","34","","19","","","","91,96","","","","-12","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-02 00:00","2022","04","02","00:00","-6,0","","-9,3","","77","","0,0","","34","","21","","","","91,98","","","","-13","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-02 01:00","2022","04","02","01:00","-6,9","","-10,3","","76","","0,0","","34","","16","","","","92,09","","","","-13","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-02 02:00","2022","04","02","02:00","-7,2","","-10,1","","79","","0,0","","34","","11","","","","92,18","","","","-12","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-02 03:00","2022","04","02","03:00","-7,3","","-10,3","","80","","0,2","","34","","10","","","","92,25","","","","-12","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-02 04:00","2022","04","02","04:00","-7,2","","-9,5","","83","","0,0","","31","","19","","","","92,32","","","","-14","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-02 05:00","2022","04","02","05:00","-7,2","","-9,4","","84","","0,0","","31","","24","","","","92,38","","","","-15","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-02 06:00","2022","04","02","06:00","-7,3","","-9,7","","83","","0,0","","31","","25","","","","92,52","","","","-15","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-02 07:00","2022","04","02","07:00","-7,2","","-10,3","","79","","0,2","","32","","14","","","","92,60","","","","-13","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-02 08:00","2022","04","02","08:00","-6,8","","-10,6","","74","","0,0","","31","","16","","","","92,71","","","","-13","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-02 09:00","2022","04","02","09:00","-6,3","","-10,1","","75","","0,0","","30","","16","","","","92,78","","","","-12","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-04-02 10:00","2022","04","02","10:00","-5,3","","-10,1","","69","","0,0","","30","","18","","","","92,86","","","","-12","","ND"
