"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 00:00","2022","11","01","00:00","3,3","","1,3","","87","","0,0","","28","","2","","","","93,44","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 01:00","2022","11","01","01:00","3,4","","1,5","","87","","0,0","","","","0","","","","93,45","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 02:00","2022","11","01","02:00","3,0","","1,4","","89","","0,0","","25","","2","","","","93,43","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 03:00","2022","11","01","03:00","2,5","","1,1","","90","","0,0","","8","","2","","","","93,41","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 04:00","2022","11","01","04:00","0,4","","-0,5","","93","","0,0","","29","","3","","","","93,42","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 05:00","2022","11","01","05:00","-0,7","","-1,2","","96","","0,0","","31","","2","","","","93,45","","","","-1","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 06:00","2022","11","01","06:00","-1,8","","-2,2","","97","","0,0","","","","0","","","","93,47","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 07:00","2022","11","01","07:00","-1,6","","-2,0","","97","","0,0","","29","","1","","","","93,50","","","","-2","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 08:00","2022","11","01","08:00","2,8","","1,2","","89","","0,0","","13","","1","","","","93,50","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 09:00","2022","11","01","09:00","8,6","","3,5","","70","","0,0","","11","","3","","","","93,52","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 10:00","2022","11","01","10:00","10,5","","6,0","","74","","0,0","","23","","4","","","","93,48","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 11:00","2022","11","01","11:00","12,9","","6,8","","66","","0,0","","21","","6","","","","93,39","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 12:00","2022","11","01","12:00","10,9","","7,0","","77","","0,0","","24","","8","","","","93,39","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 13:00","2022","11","01","13:00","10,5","","7,0","","79","","0,0","","21","","5","","","","93,36","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 14:00","2022","11","01","14:00","9,7","","7,3","","85","","0,0","","26","","9","","","","93,39","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 15:00","2022","11","01","15:00","10,1","","7,6","","85","","0,0","","31","","4","","","","93,38","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 16:00","2022","11","01","16:00","9,4","","7,2","","86","","0,0","","25","","3","","","","93,39","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 17:00","2022","11","01","17:00","9,5","","6,8","","83","","0,0","","28","","6","","","","93,45","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 18:00","2022","11","01","18:00","8,8","","6,4","","85","","0,0","","29","","6","","","","93,51","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 19:00","2022","11","01","19:00","8,3","","6,5","","88","","0,0","","28","","6","","","","93,51","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 20:00","2022","11","01","20:00","8,4","","6,0","","85","","0,0","","28","","12","","","","93,54","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 21:00","2022","11","01","21:00","7,8","","5,1","","83","","0,0","","29","","9","","","","93,63","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 22:00","2022","11","01","22:00","7,8","","4,0","","77","","0,0","","31","","14","","","","93,68","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-01 23:00","2022","11","01","23:00","7,0","","3,6","","79","","0,0","","31","","14","","","","93,73","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-02 00:00","2022","11","02","00:00","5,9","","2,7","","80","","0,0","","31","","13","","","","93,82","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-02 01:00","2022","11","02","01:00","5,0","","1,9","","80","","0,0","","32","","8","","","","93,91","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-02 02:00","2022","11","02","02:00","4,4","","0,5","","76","","0,0","","33","","8","","","","93,97","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-02 03:00","2022","11","02","03:00","3,7","","0,2","","78","","0,0","","32","","7","","","","94,00","","","","","","ND"
"-71,15","47,32","FORET MONTMORENCY RCS","7042395","2022-11-02 04:00","2022","11","02","04:00","3,2","","-0,2","","78","","0,0","","32","","10","","","","94,07","","","","","","ND"
