"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 00:00","2022","12","01","00:00","1,3","","-1,0","","84","","","","25","","37","","9,7","","99,03","","","","","","Averses de pluie,Averses de granules de glace ou de grésil"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 01:00","2022","12","01","01:00","1,4","","-1,5","","81","","","","26","","34","","24,1","","99,12","","","","","","Nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 02:00","2022","12","01","02:00","0,4","","-2,9","","78","","","","25","","25","","24,1","","99,24","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 03:00","2022","12","01","03:00","0,4","","-2,5","","81","","","","25","","25","","24,1","","99,27","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 04:00","2022","12","01","04:00","0,3","","-2,6","","81","","","","24","","24","","24,1","","99,32","","","","","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 05:00","2022","12","01","05:00","0,1","","-3,7","","76","","","","24","","33","","24,1","","99,35","","","","","","Averses de neige"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 06:00","2022","12","01","06:00","-0,9","","-3,5","","82","","","","24","","36","","24,1","","99,41","","","","-8","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 07:00","2022","12","01","07:00","-0,6","","-4,5","","75","","","","24","","32","","32,2","","99,44","","","","-7","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 08:00","2022","12","01","08:00","-0,9","","-4,4","","78","","","","25","","34","","32,2","","99,52","","","","-8","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 09:00","2022","12","01","09:00","-0,5","","-4,4","","75","","","","26","","40","","32,2","","99,63","","","","-8","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 10:00","2022","12","01","10:00","-0,7","","-4,6","","75","","","","26","","29","","32,2","","99,72","","","","-7","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 11:00","2022","12","01","11:00","-1,5","","-3,0","","90","","","","25","","32","","1,6","","99,79","","","","-9","","Averses de neige"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 12:00","2022","12","01","12:00","-1,0","","-3,4","","84","","","","25","","28","","9,7","","99,88","","","","-8","","Averses de neige"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 13:00","2022","12","01","13:00","0,1","","-6,1","","63","","","","26","","32","","24,1","","99,97","","","","","","Averses de neige"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 14:00","2022","12","01","14:00","-0,4","","-7,4","","59","","","","26","","43","","24,1","","100,11","","","","-8","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 15:00","2022","12","01","15:00","-0,6","","-7,8","","58","","","","26","","37","","24,1","","100,30","","","","-8","","Averses de neige"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 16:00","2022","12","01","16:00","-1,6","","-8,1","","61","","","","27","","35","","24,1","","100,53","","","","-9","","Généralement dégagé"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 17:00","2022","12","01","17:00","-2,1","","-7,9","","65","","","","27","","36","","24,1","","100,75","","","","-10","","Averses de neige"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 18:00","2022","12","01","18:00","-2,5","","-7,5","","68","","","","27","","34","","24,1","","100,89","","","","-10","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 19:00","2022","12","01","19:00","-2,8","","-10,1","","57","","","","27","","39","","24,1","","101,04","","","","-11","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 20:00","2022","12","01","20:00","-3,2","","-10,2","","59","","","","26","","28","","16,1","","101,22","","","","-10","","Averses de neige"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 21:00","2022","12","01","21:00","-3,2","","-10,2","","59","","","","26","","32","","16,1","","101,30","","","","-11","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 22:00","2022","12","01","22:00"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-01 23:00","2022","12","01","23:00","-4,0","","-8,5","","71","","","","25","","27","","24,1","","101,49","","","","-11","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-12-02 00:00","2022","12","02","00:00","-4,5","","-9,3","","69","","","","25","","29","","24,1","","101,54","","","","-12","","ND"
